rating,reviews,installs
4.3,8572,"1,000,000+"
4.7,964,"50,000+"
4.7,42050,"1,000,000+"
4.8,104,"10,000+"
4.2,17934,"1,000,000+"
4.3,601,"100,000+"
4.5,36,"10,000+"
4.1,187,"50,000+"
4.2,30,"10,000+"
4.5,134,"10,000+"
4.4,74,"10,000+"
4.0,113715,"10,000,000+"
4.1,3595,"500,000+"
4.1,9315,"1,000,000+"
4.4,75,"50,000+"
4.6,38,"10,000+"
4.5,26834,"1,000,000+"
3.9,2277,"500,000+"
4.4,2280,"500,000+"
4.6,184,"10,000+"
3.8,9,"5,000+"
4.0,364,"100,000+"
4.3,18,"5,000+"
4.5,473,"100,000+"
4.1,66,"10,000+"
3.7,3871,"1,000,000+"
4.7,257,"50,000+"
4.2,62,"10,000+"
4.6,2914724,"100,000,000+"
4.5,1857,"50,000+"
4.6,4478,"100,000+"
4.4,577550,"10,000,000+"
4.2,814080,"100,000,000+"
4.5,246315,"10,000,000+"
4.5,454060,"10,000,000+"
4.5,155446,"10,000,000+"
4.5,418,"100,000+"
4.4,22486,"1,000,000+"
4.5,203130,"10,000,000+"
4.6,1435,"500,000+"
4.8,116507,"1,000,000+"
3.9,1433233,"1,000,000,000+"
4.6,90468,"5,000,000+"
4.2,860,"100,000+"
4.1,363934,"10,000,000+"
4.7,967,"500,000+"
4.2,87873,"10,000,000+"
4.3,17506,"1,000,000+"
3.3,1862,"1,000,000+"
4.6,2084,"500,000+"
4.8,47303,"1,000,000+"
4.7,19080,"500,000+"
4.1,85842,"5,000,000+"
4.6,7831,"100,000+"
4.1,91615,"5,000,000+"
4.6,4620,"500,000+"
4.7,21336,"1,000,000+"
4.5,26875,"500,000+"
3.9,1778,"500,000+"
4.4,2709,"1,000,000+"
4.3,64513,"5,000,000+"
4.2,8342,"10,000,000+"
4.5,527,"100,000+"
4.4,1322,"100,000+"
3.4,1680,"100,000+"
4.9,2739,"50,000+"
4.6,1065,"500,000+"
4.4,233757,"10,000,000+"
4.4,8788,"1,000,000+"
4.4,51269,"1,000,000+"
4.4,30105,"1,000,000+"
3.5,156,"500,000+"
4.4,341157,"10,000,000+"
4.1,16129,"10,000,000+"
4.3,674730,"50,000,000+"
4.4,1254730,"10,000,000+"
4.3,85185,"5,000,000+"
4.3,32584,"1,000,000+"
4.1,217730,"50,000,000+"
4.4,70991,"5,000,000+"
4.3,1002861,"100,000,000+"
3.9,16589,"1,000,000+"
4.8,148945,"1,000,000+"
4.5,4458,"500,000+"
4.4,62272,"10,000,000+"
4.0,8941,"5,000,000+"
4.3,46353,"1,000,000+"
4.0,1279184,"50,000,000+"
4.2,88073,"10,000,000+"
4.5,67000,"1,000,000+"
4.2,159872,"10,000,000+"
4.2,30847,"5,000,000+"
4.6,188841,"5,000,000+"
4.1,11622,"5,000,000+"
4.6,95912,"5,000,000+"
3.1,4034,"100,000+"
3.9,45964,"1,000,000+"
4.3,14955,"1,000,000+"
4.1,6903,"1,000,000+"
4.4,31614,"10,000,000+"
4.1,23055,"5,000,000+"
4.1,19023,"1,000,000+"
4.5,207372,"5,000,000+"
4.4,1225,"100,000+"
4.4,380837,"10,000,000+"
4.3,10600,"1,000,000+"
4.4,74359,"1,000,000+"
4.6,822,"100,000+"
4.2,80805,"5,000,000+"
4.4,2287,"1,000,000+"
4.7,4162,"100,000+"
3.8,14760,"50,000,000+"
3.9,23243,"5,000,000+"
4.3,8978,"1,000,000+"
4.2,80805,"5,000,000+"
4.4,42492,"1,000,000+"
4.7,286897,"10,000,000+"
4.5,103755,"10,000,000+"
4.2,46505,"1,000,000+"
4.7,11442,"100,000+"
4.8,10295,"100,000+"
4.2,159872,"10,000,000+"
4.2,296,"50,000+"
4.3,29313,"5,000,000+"
4.4,70991,"5,000,000+"
4.4,51507,"5,000,000+"
4.1,1802,"100,000+"
3.8,1383,"100,000+"
4.3,23175,"1,000,000+"
3.8,5868,"500,000+"
3.5,2111,"100,000+"
4.1,5448,"500,000+"
4.6,4159,"500,000+"
4.3,20815,"1,000,000+"
4.5,78662,"1,000,000+"
4.1,7149,"1,000,000+"
4.5,3079,"100,000+"
4.6,5800,"100,000+"
4.0,6989,"1,000,000+"
4.2,16422,"1,000,000+"
4.4,108741,"10,000,000+"
4.4,31614,"10,000,000+"
4.0,624,"100,000+"
4.2,1661,"100,000+"
4.2,97702,"5,000,000+"
4.1,308,"50,000+"
4.0,6989,"1,000,000+"
3.8,5211,"1,000,000+"
3.9,1058,"500,000+"
3.9,78172,"10,000,000+"
4.2,159872,"10,000,000+"
4.2,296,"50,000+"
4.3,29313,"5,000,000+"
4.4,70991,"5,000,000+"
4.4,51507,"5,000,000+"
4.1,1802,"100,000+"
3.8,1383,"100,000+"
4.3,23175,"1,000,000+"
3.8,5868,"500,000+"
3.5,2111,"100,000+"
4.1,5448,"500,000+"
4.6,4159,"500,000+"
4.3,20815,"1,000,000+"
4.5,78662,"1,000,000+"
4.1,7149,"1,000,000+"
4.5,3079,"100,000+"
4.6,5800,"100,000+"
4.0,6989,"1,000,000+"
4.2,16422,"1,000,000+"
4.3,8978,"1,000,000+"
4.2,80804,"5,000,000+"
4.4,42492,"1,000,000+"
4.7,286897,"10,000,000+"
4.5,103755,"10,000,000+"
4.2,46505,"1,000,000+"
4.7,11442,"100,000+"
4.8,10295,"100,000+"
4.1,217730,"50,000,000+"
4.3,1002859,"100,000,000+"
4.4,51510,"5,000,000+"
4.5,413,"10,000+"
4.3,23175,"1,000,000+"
4.5,1013635,"10,000,000+"
4.6,24005,"500,000+"
4.7,57106,"1,000,000+"
4.7,2249,"500,000+"
4.8,516,"50,000+"
3.9,834,"50,000+"
4.1,1010,"50,000+"
4.4,238970,"1,000,000+"
4.6,302,"10,000+"
4.5,438,"10,000+"
4.7,73,"10,000+"
4.4,39,"10,000+"
4.5,144,"10,000+"
3.9,2181,"100,000+"
3.2,93965,"5,000,000+"
3.2,1446,"100,000+"
4.1,12088,"1,000,000+"
4.5,314,"100,000+"
4.2,25671,"1,000,000+"
4.2,15194,"1,000,000+"
3.7,22551,"1,000,000+"
4.5,29839,"1,000,000+"
4.6,279,"100,000+"
4.5,564387,"5,000,000+"
4.7,1677,"100,000+"
4.4,757,"10,000+"
3.5,115,"10,000+"
3.3,125,"5,000+"
4.5,9952,"500,000+"
4.4,18814,"1,000,000+"
4.2,21,"5,000+"
5.0,15,"1,000+"
4.4,51981,"5,000,000+"
4.7,3596,"10,000+"
4.4,1006,"50,000+"
4.4,5968,"1,000,000+"
4.6,4895,"100,000+"
4.0,56642847,"1,000,000,000+"
4.4,69119316,"1,000,000,000+"
4.3,125257,"10,000,000+"
4.3,9642995,"1,000,000,000+"
4.4,1429035,"100,000,000+"
4.3,4604324,"1,000,000,000+"
4.0,3419249,"1,000,000,000+"
4.3,11334799,"500,000,000+"
4.3,158679,"5,000,000+"
4.4,3075028,"100,000,000+"
4.3,4187998,"100,000,000+"
4.3,659395,"100,000,000+"
4.3,4785892,"500,000,000+"
4.3,66602,"50,000,000+"
4.3,30209,"5,000,000+"
4.0,36901,"5,000,000+"
4.5,5149854,"100,000,000+"
4.3,192948,"10,000,000+"
3.7,99559,"10,000,000+"
4.5,437674,"10,000,000+"
3.9,13698,"10,000,000+"
4.4,2473509,"100,000,000+"
3.6,20769,"1,000,000+"
4.4,36880,"1,000,000+"
4.2,171031,"10,000,000+"
4.4,63543,"5,000,000+"
4.1,45487,"10,000,000+"
4.4,615381,"10,000,000+"
4.3,2451083,"100,000,000+"
4.2,33053,"5,000,000+"
4.2,5387333,"100,000,000+"
4.4,3648120,"100,000,000+"
4.4,136662,"10,000,000+"
3.9,42370,"1,000,000+"
4.2,781810,"100,000,000+"
4.4,3128250,"100,000,000+"
4.6,2083237,"500,000,000+"
4.3,541389,"10,000,000+"
4.3,46702,"1,000,000+"
4.4,2939,"100,000+"
3.7,13761,"10,000,000+"
4.3,258556,"10,000,000+"
3.9,40751,"10,000,000+"
4.5,17712922,"500,000,000+"
3.7,25021,"5,000,000+"
4.3,27187,"5,000,000+"
4.4,69119316,"1,000,000,000+"
4.0,56646578,"1,000,000,000+"
4.3,4785988,"500,000,000+"
4.0,122498,"10,000,000+"
4.3,11334973,"500,000,000+"
4.0,3419433,"1,000,000,000+"
4.1,132014,"10,000,000+"
4.2,83239,"5,000,000+"
4.2,594728,"50,000,000+"
4.2,5387446,"100,000,000+"
4.1,10484169,"1,000,000,000+"
4.4,3128509,"100,000,000+"
4.3,2451093,"100,000,000+"
4.2,171031,"10,000,000+"
4.4,2876500,"100,000,000+"
4.2,781810,"100,000,000+"
4.1,28238,"1,000,000+"
4.3,335646,"10,000,000+"
4.3,350154,"10,000,000+"
4.5,349384,"10,000,000+"
4.3,346982,"10,000,000+"
4.2,244863,"10,000,000+"
4.2,10790289,"500,000,000+"
4.5,330761,"10,000,000+"
4.3,37320,"1,000,000+"
4.3,12842860,"100,000,000+"
4.3,2546527,"100,000,000+"
4.4,36893,"1,000,000+"
4.2,15880,"1,000,000+"
4.3,346980,"10,000,000+"
4.3,9643041,"1,000,000,000+"
4.4,3075118,"100,000,000+"
4.6,2264916,"50,000,000+"
4.3,541389,"10,000,000+"
4.4,2473693,"100,000,000+"
4.2,42925,"1,000,000+"
4.5,5150471,"100,000,000+"
4.5,2511130,"50,000,000+"
4.4,3648480,"100,000,000+"
4.5,17714850,"500,000,000+"
4.1,13100,"1,000,000+"
4.2,27156,"1,000,000+"
4.1,55098,"1,000,000+"
4.3,1133501,"10,000,000+"
4.1,12578,"500,000+"
4.2,10965,"500,000+"
4.0,18247,"100,000+"
4.2,190613,"10,000,000+"
4.2,125232,"10,000,000+"
4.2,83239,"5,000,000+"
4.3,11334973,"500,000,000+"
4.3,72065,"1,000,000+"
4.4,27540,"1,000,000+"
4.2,104990,"5,000,000+"
4.4,177703,"10,000,000+"
4.1,17529,"1,000,000+"
4.2,177263,"10,000,000+"
4.8,237468,"1,000,000+"
4.4,32254,"1,000,000+"
4.4,483565,"10,000,000+"
4.4,552441,"10,000,000+"
4.0,60308,"5,000,000+"
4.5,457283,"10,000,000+"
4.4,93825,"5,000,000+"
4.1,32283,"1,000,000+"
4.2,15287,"1,000,000+"
4.5,205739,"5,000,000+"
4.3,14873,"1,000,000+"
4.5,7820209,"100,000,000+"
4.0,9498,"1,000,000+"
4.3,4604483,"1,000,000,000+"
4.3,4188142,"100,000,000+"
4.2,88427,"5,000,000+"
4.5,305218,"10,000,000+"
4.6,183374,"1,000,000+"
4.1,20901,"1,000,000+"
4.0,122595,"1,000,000+"
4.2,124346,"10,000,000+"
4.6,837842,"50,000,000+"
4.1,255,"10,000+"
4.3,41420,"5,000,000+"
4.2,44706,"1,000,000+"
4.3,23707,"500,000+"
4.0,3419513,"1,000,000,000+"
4.3,4785988,"500,000,000+"
4.2,594728,"50,000,000+"
4.3,11335255,"500,000,000+"
4.1,10484169,"1,000,000,000+"
4.2,5387446,"100,000,000+"
4.1,29208,"1,000,000+"
4.6,191032,"5,000,000+"
4.3,350154,"10,000,000+"
4.2,244863,"10,000,000+"
4.2,10790289,"500,000,000+"
4.3,2546527,"100,000,000+"
4.2,1545,"10,000+"
2.6,57,"1,000+"
3.5,2,100+
4.0,516801,"10,000,000+"
4.1,285726,"10,000,000+"
3.7,76646,"10,000,000+"
4.1,2556,"100,000+"
4.2,7779,"500,000+"
4.5,61637,"5,000,000+"
4.4,12632,"1,000,000+"
4.2,313724,"10,000,000+"
4.0,48845,"1,000,000+"
4.1,305708,"10,000,000+"
3.1,31320,"5,000,000+"
4.4,172460,"5,000,000+"
4.2,4195,"100,000+"
4.1,11633,"500,000+"
3.9,10212,"1,000,000+"
4.3,37053,"1,000,000+"
4.4,667,"10,000+"
3.5,13202,"1,000,000+"
4.0,28671,"1,000,000+"
3.3,1157,"100,000+"
4.5,212626,"10,000,000+"
4.4,222888,"1,000,000+"
4.1,2067,"100,000+"
3.9,1643,"500,000+"
3.9,105,"5,000+"
3.6,3414,"500,000+"
4.0,42194,"5,000,000+"
3.6,11806,"1,000,000+"
3.4,1999,"100,000+"
4.2,22544,"1,000,000+"
4.1,97684,"1,000,000+"
3.4,2519,"100,000+"
3.0,1146,"100,000+"
4.6,13046,"500,000+"
4.1,17268,"500,000+"
3.9,8722,"500,000+"
1.9,953,"100,000+"
3.5,2593,"500,000+"
2.5,5377,"500,000+"
3.9,852,"100,000+"
3.4,212,"50,000+"
3.5,1972,"1,000,000+"
4.4,35206,"1,000,000+"
3.8,5164,"100,000+"
4.2,1939,"100,000+"
2.5,277,"100,000+"
2.8,80,"10,000+"
4.1,825,"100,000+"
4.2,40035,"1,000,000+"
3.5,1093,"100,000+"
4.3,135418,"10,000,000+"
3.3,1601,"500,000+"
4.1,2212,"100,000+"
4.2,57081,"1,000,000+"
3.5,241,"50,000+"
4.2,63986,"5,000,000+"
4.4,7888,"500,000+"
4.1,535,"100,000+"
4.2,5084,"100,000+"
4.3,2430,"500,000+"
4.1,285726,"10,000,000+"
4.0,48845,"1,000,000+"
4.1,2556,"100,000+"
4.2,7779,"500,000+"
3.0,837,"100,000+"
4.4,12632,"1,000,000+"
4.5,61637,"5,000,000+"
2.5,5377,"500,000+"
4.1,11633,"500,000+"
4.2,313724,"10,000,000+"
4.0,738,"10,000+"
4.1,305708,"10,000,000+"
1.9,953,"100,000+"
3.3,4631,"100,000+"
4.4,222888,"1,000,000+"
4.1,17268,"500,000+"
3.8,5164,"100,000+"
4.1,4953,"1,000,000+"
4.2,4195,"100,000+"
4.0,28671,"1,000,000+"
4.5,212626,"10,000,000+"
3.7,1439,"50,000+"
3.9,1645,"500,000+"
3.5,13204,"1,000,000+"
3.9,853,"100,000+"
4.0,337,"10,000+"
4.6,13049,"500,000+"
4.0,51698,"1,000,000+"
4.1,923,"100,000+"
4.2,1546,"10,000+"
3.3,149,"10,000+"
4.4,198,"10,000+"
4.3,135420,"10,000,000+"
4.2,22545,"1,000,000+"
3.9,8723,"500,000+"
4.3,23170,"500,000+"
3.4,13890,"500,000+"
4.2,57083,"1,000,000+"
4.1,537,"100,000+"
4.0,13440,"500,000+"
3.6,143,"10,000+"
4.2,1059,"100,000+"
3.5,894,"100,000+"
4.0,6191,"500,000+"
4.1,2212,"100,000+"
4.1,15081,"1,000,000+"
2.8,80,"10,000+"
4.4,218,"10,000+"
4.4,35205,"1,000,000+"
4.2,243950,"10,000,000+"
4.1,236,"10,000+"
4.2,5152,"100,000+"
3.9,1576,"10,000+"
4.1,6701,"1,000,000+"
4.2,40039,"1,000,000+"
3.9,742,"50,000+"
4.0,187,"10,000+"
4.2,2506,"500,000+"
4.5,182986,"5,000,000+"
3.9,8661,"1,000,000+"
3.6,8,"1,000+"
4.4,59,"5,000+"
3.5,35,"1,000+"
4.4,28,500+
4.8,125,"5,000+"
4.6,185,"10,000+"
4.7,6,100+
4.8,110,"10,000+"
2.7,3,100+
5.0,5,"1,000+"
4.8,84,"1,000+"
5.0,2,100+
4.8,20,500+
4.9,776,"5,000+"
3.0,2,100+
4.7,14,"5,000+"
1.0,1,10+
5.0,5,500+
4.7,18,500+
5.0,6,100+
5.0,5,100+
3.0,1,500+
4.1,11,"1,000+"
5.0,3,100+
3.7,101,"10,000+"
4.5,120,500+
4.2,24,"1,000+"
4.3,6,100+
4.1,4954,"1,000,000+"
1.9,954,"100,000+"
4.1,2560,"100,000+"
4.4,59,"5,000+"
3.9,10212,"1,000,000+"
3.9,105,"5,000+"
4.0,42197,"5,000,000+"
4.4,28,500+
4.7,6,100+
3.8,5168,"100,000+"
4.4,12633,"1,000,000+"
4.4,41605,"500,000+"
3.6,8,"1,000+"
4.4,218,"10,000+"
2.7,3,100+
4.3,2433,"500,000+"
4.6,185,"10,000+"
2.8,80,"10,000+"
3.5,35,"1,000+"
3.4,5,500+
4.8,125,"5,000+"
4.7,791,"10,000+"
4.8,110,"10,000+"
4.8,5323,"50,000+"
4.7,478,"10,000+"
4.1,825,"100,000+"
3.5,69,"5,000+"
4.7,158,"10,000+"
3.8,24,"1,000+"
2.9,53,"10,000+"
4.5,182986,"5,000,000+"
3.3,1157,"100,000+"
4.1,97699,"1,000,000+"
4.7,6289924,"100,000,000+"
4.6,181893,"10,000,000+"
4.7,2544,"100,000+"
4.6,85375,"5,000,000+"
4.7,314299,"10,000,000+"
4.5,9770,"5,000,000+"
4.7,32346,"1,000,000+"
4.8,4075,"500,000+"
4.6,10611,"500,000+"
4.6,9321,"1,000,000+"
4.6,56065,"1,000,000+"
4.2,14286,"5,000,000+"
4.9,133136,"1,000,000+"
3.8,2469,"500,000+"
4.2,36212,"5,000,000+"
4.4,390,"500,000+"
4.4,1090,"1,000,000+"
4.3,266948,"10,000,000+"
4.5,342918,"10,000,000+"
4.4,748,"1,000,000+"
4.6,172640,"5,000,000+"
3.9,61,"50,000+"
4.4,1619,"1,000,000+"
4.3,3168,"1,000,000+"
4.4,29855,"1,000,000+"
4.2,6736,"1,000,000+"
4.4,7005,"1,000,000+"
4.0,889,"500,000+"
4.2,5741,"1,000,000+"
3.8,27572,"5,000,000+"
4.5,10852,"1,000,000+"
4.7,9888,"500,000+"
4.5,1929,"500,000+"
4.3,1516,"100,000+"
4.2,215301,"10,000,000+"
4.3,423,"100,000+"
4.7,254519,"5,000,000+"
4.7,1107903,"10,000,000+"
4.6,85375,"5,000,000+"
4.6,181893,"10,000,000+"
4.6,211856,"10,000,000+"
4.5,99020,"1,000,000+"
4.4,90481,"5,000,000+"
4.6,32381,"1,000,000+"
4.5,248912,"5,000,000+"
4.5,248555,"5,000,000+"
4.2,215301,"10,000,000+"
4.4,272145,"10,000,000+"
4.4,56897,"1,000,000+"
4.2,8599,"1,000,000+"
4.5,41185,"1,000,000+"
4.1,29980,"1,000,000+"
4.0,304,"10,000+"
4.1,358,"50,000+"
4.3,11904,"1,000,000+"
4.3,22251,"1,000,000+"
4.3,22384,"1,000,000+"
4.5,99020,"1,000,000+"
4.6,73404,"1,000,000+"
4.1,12733,"1,000,000+"
4.6,25183,"1,000,000+"
4.7,52743,"1,000,000+"
4.7,61749,"1,000,000+"
4.3,55704,"1,000,000+"
4.7,19277,"1,000,000+"
4.6,13612,"100,000+"
4.6,37862,"1,000,000+"
4.6,18372,"100,000+"
4.3,656,"10,000+"
4.2,240,"10,000+"
4.0,275,"50,000+"
4.5,13791,"500,000+"
4.2,3692,"100,000+"
4.1,2363,"100,000+"
4.4,1769,"100,000+"
4.0,430,"10,000+"
4.5,756,"100,000+"
4.4,3963,"100,000+"
4.0,316,"50,000+"
4.2,642,"50,000+"
4.3,1058,"100,000+"
4.2,2277,"100,000+"
4.6,85375,"5,000,000+"
4.6,181893,"10,000,000+"
4.7,6290507,"100,000,000+"
4.6,211856,"10,000,000+"
4.4,90481,"5,000,000+"
4.5,99020,"1,000,000+"
4.3,22384,"1,000,000+"
4.6,32380,"1,000,000+"
4.5,172505,"5,000,000+"
4.2,69493,"10,000,000+"
4.2,8599,"1,000,000+"
4.7,1107884,"10,000,000+"
4.5,41185,"1,000,000+"
4.6,7973,"1,000,000+"
4.3,266935,"10,000,000+"
4.2,5695,"1,000,000+"
4.7,142632,"5,000,000+"
4.7,6290507,"100,000,000+"
4.4,55256,"5,000,000+"
4.5,172508,"5,000,000+"
4.4,54798,"1,000,000+"
4.0,4815,"500,000+"
4.6,75112,"1,000,000+"
4.4,33646,"1,000,000+"
4.7,1107903,"10,000,000+"
4.7,314300,"10,000,000+"
4.3,206527,"10,000,000+"
4.1,9348,"1,000,000+"
4.2,3816,"500,000+"
4.3,47847,"1,000,000+"
4.3,16195,"1,000,000+"
4.3,206,"50,000+"
4.0,28392,"1,000,000+"
4.2,3241,"100,000+"
4.0,835,"100,000+"
4.0,2525,"100,000+"
3.8,828,"100,000+"
4.6,211856,"10,000,000+"
4.1,200058,"10,000,000+"
3.9,1239,"100,000+"
4.1,702,"10,000+"
4.5,108613,"10,000,000+"
4.2,69498,"10,000,000+"
4.4,148550,"10,000,000+"
4.7,6290507,"100,000,000+"
4.0,3847,"500,000+"
4.4,55256,"5,000,000+"
4.4,84309,"5,000,000+"
4.0,4815,"500,000+"
4.5,172508,"5,000,000+"
4.7,1107948,"10,000,000+"
4.3,266948,"10,000,000+"
4.5,14206,"500,000+"
4.3,206532,"10,000,000+"
4.1,9348,"1,000,000+"
4.3,14700,"1,000,000+"
4.5,42828,"1,000,000+"
4.2,40209,"1,000,000+"
4.6,37862,"1,000,000+"
3.5,1405,"100,000+"
4.2,69498,"10,000,000+"
4.4,148549,"10,000,000+"
4.4,84311,"5,000,000+"
4.6,211856,"10,000,000+"
4.3,206532,"10,000,000+"
4.5,172508,"5,000,000+"
4.8,256079,"1,000,000+"
4.4,2078,"100,000+"
4.1,16103,"1,000,000+"
4.9,11,"1,000+"
4.7,21,"1,000+"
4.7,31085,"500,000+"
4.7,3528,"100,000+"
4.4,5456208,"100,000,000+"
4.0,11656,"1,000,000+"
4.2,28948,"1,000,000+"
4.3,296771,"10,000,000+"
4.5,470089,"50,000,000+"
3.5,10939,"10,000,000+"
4.2,98509,"5,000,000+"
3.1,5241,"5,000,000+"
4.6,22508,"10,000,000+"
4.2,10291,"5,000,000+"
4.3,7165362,"1,000,000,000+"
4.3,4885646,"100,000,000+"
4.1,141980,"5,000,000+"
3.8,6979,"1,000,000+"
3.4,46618,"5,000,000+"
4.3,103078,"5,000,000+"
4.4,17682,"1,000,000+"
4.4,37000,"1,000,000+"
4.0,175528,"10,000,000+"
3.7,1828284,"100,000,000+"
3.9,34923,"5,000,000+"
4.5,684116,"10,000,000+"
4.4,46916,"1,000,000+"
4.3,407698,"10,000,000+"
4.2,702975,"50,000,000+"
4.2,32458,"5,000,000+"
4.5,235496,"10,000,000+"
4.7,11661,"1,000,000+"
4.5,653008,"10,000,000+"
4.5,23063,"1,000,000+"
3.4,87384,"10,000,000+"
4.2,411683,"50,000,000+"
4.3,8918,"1,000,000+"
4.2,501498,"100,000,000+"
4.6,2133296,"50,000,000+"
4.1,29690,"1,000,000+"
4.2,130549,"5,000,000+"
4.2,613059,"50,000,000+"
4.3,1633682,"100,000,000+"
4.4,42050,"1,000,000+"
3.9,2646,"100,000+"
4.1,21867,"1,000,000+"
4.3,32732,"1,000,000+"
4.5,653008,"10,000,000+"
4.6,243747,"10,000,000+"
3.6,2639,"100,000+"
4.3,1511,"100,000+"
4.3,44550,"1,000,000+"
4.2,501497,"100,000,000+"
4.4,5456208,"100,000,000+"
4.1,7813,"500,000+"
4.1,1033,"100,000+"
4.2,2442,"100,000+"
3.9,15254,"1,000,000+"
4.2,155234,"1,000,000+"
3.7,310066,"10,000,000+"
4.5,12216,"1,000,000+"
3.7,388089,"10,000,000+"
3.8,92058,"10,000,000+"
4.3,88185,"10,000,000+"
3.0,493,"50,000+"
4.1,33387,"1,000,000+"
4.2,123279,"10,000,000+"
4.1,27424,"1,000,000+"
3.9,60841,"5,000,000+"
4.0,29706,"1,000,000+"
4.4,288150,"5,000,000+"
4.2,14807,"1,000,000+"
4.0,319692,"10,000,000+"
3.9,61201,"10,000,000+"
4.0,22998,"1,000,000+"
4.2,12398,"1,000,000+"
4.0,35928,"1,000,000+"
4.3,64448,"1,000,000+"
3.9,22378,"1,000,000+"
4.2,501498,"100,000,000+"
4.4,5456599,"100,000,000+"
4.3,296829,"10,000,000+"
3.7,310095,"10,000,000+"
4.3,88185,"10,000,000+"
3.7,388089,"10,000,000+"
3.8,92058,"10,000,000+"
4.2,123279,"10,000,000+"
4.0,319691,"10,000,000+"
3.9,60841,"5,000,000+"
4.4,288150,"5,000,000+"
4.5,16372,"500,000+"
4.1,58028,"5,000,000+"
4.1,33387,"1,000,000+"
3.9,61201,"10,000,000+"
4.5,736864,"10,000,000+"
4.0,29706,"1,000,000+"
4.1,27424,"1,000,000+"
3.6,1968,"500,000+"
3.8,35279,"1,000,000+"
4.0,35931,"1,000,000+"
4.2,14807,"1,000,000+"
3.7,17247,"1,000,000+"
3.8,87723,"10,000,000+"
3.7,18523,"1,000,000+"
4.1,182103,"10,000,000+"
3.7,197774,"10,000,000+"
3.9,8674,"1,000,000+"
4.4,5456708,"100,000,000+"
4.3,296771,"10,000,000+"
3.9,58082,"10,000,000+"
3.7,388089,"10,000,000+"
3.7,310066,"10,000,000+"
4.2,123279,"10,000,000+"
4.3,88185,"10,000,000+"
4.0,319691,"10,000,000+"
4.1,7813,"500,000+"
3.9,60841,"5,000,000+"
4.5,653008,"10,000,000+"
3.9,27424,"1,000,000+"
4.1,33387,"1,000,000+"
4.3,407719,"10,000,000+"
4.4,288150,"5,000,000+"
4.1,115033,"10,000,000+"
4.0,22997,"1,000,000+"
3.9,61201,"10,000,000+"
3.9,801,"100,000+"
4.0,29706,"1,000,000+"
4.1,27424,"1,000,000+"
4.2,12398,"1,000,000+"
3.8,35279,"1,000,000+"
